condition,cell,n_cycles,Q_initial_Ah,Q_final_Ah,SOH_final_pct,fade_slope_pct_per_cycle,fade_intercept_pct,eol80_cycle,cumulative_Ah_final,CE_median,EE_median,DOD_pct,C_ch,C_dis,T_degC
DOD100_0.5C0.5C_-10degC,S2000FOQ09,203,1.0666666490533911,0.4817385482749488,45.16298964652787,-0.6217569252126864,113.19404255912357,69.0,107.77911017815073,0.989124206429313,0.7106246798633957,100.0,0.5,0.5,-10.0
DOD100_0.5C0.5C_-10degC,S2000FQ6K4,202,1.074708272052356,0.0733266670747689,6.822936882651693,-0.6260877846774809,118.86571081235527,81.0,120.09000589779075,0.9746377254992018,0.7220044567566841,100.0,0.5,0.5,-10.0
DOD100_0.5C0.5C_-10degC,S2000FQHB2,201,1.0812091745230226,1.0245129858027537,94.75622385970962,-0.026702822879008565,100.11763478314994,,211.71752142965707,0.8582249730453202,0.7340468648551718,100.0,0.5,0.5,-10.0
DOD100_0.5C0.5C_50degC,S2000FNPEL,192,1.2296027410608215,1.2305306356797217,100.07546295953274,-0.0001303470251198706,100.06706416199441,,236.21235809331378,1.0011015352470751,0.9668809220819983,100.0,0.5,0.5,50.0
DOD100_0.5C0.5C_50degC,S2000FOMBK,190,1.247361006092109,1.2430169252336387,99.65173828288252,-0.0019781060328681608,100.08171793793011,,236.74454955160078,0.9990343593071136,0.9640910302277321,100.0,0.5,0.5,50.0
DOD100_0.5C0.5C_50degC,S2000FQJRF,189,1.2477659865418629,1.2486992295387331,100.0747931108025,-7.798081472193255e-05,100.18153234308609,,236.23840459592012,1.001020885120051,0.9664257063197068,100.0,0.5,0.5,50.0
DOD100_1C1C_-10degC,S2000FOSGS,75,1.0593075141201398,0.6231249248677793,58.82379918595654,-0.37903245705719973,106.49301164019603,68.0,73.16354557290819,0.7959642431993155,0.65611734730794,100.0,1.0,1.0,-10.0
DOD100_1C1C_-10degC,S2000FPFHG,102,1.0417710277806513,0.684598649704738,65.71488661603313,-0.26796795160677234,105.68922449008895,94.0,97.64171108659954,0.753879102527339,0.6170464079765646,100.0,1.0,1.0,-10.0
DOD100_1C1C_-10degC,S2000FQW1T,315,1.0560078567409135,0.9733999997187432,92.17734446814464,-0.023279902549469857,98.73097279925064,,316.1858140357888,0.7556069985475782,0.6206252370194373,100.0,1.0,1.0,-10.0
DOD100_1C1C_25degC,S2000FM42G,1611,1.171447414520306,1.0681785974825337,91.1845110793932,-0.004235368480074462,100.70791427946646,403.0,1836.138016373018,1.0020269479304842,0.9343211918185229,100.0,1.0,1.0,25.0
