path,condition,test_type,cell,visit,test_id,rpt_T_degC,size_MB,DOD_pct,C_ch,C_dis,T_degC
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_0.5C0.5C_50degC/Cycling_Periods/S2000FQJRF_CU_at50degC_V01_4865.ird,DOD100_0.5C0.5C_50degC,CYC,S2000FQJRF,1,4865,50,38.429,100.0,0.5,0.5,50.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/CU_at_25degC/S2000FOSGS_CU_at25degC_V00_4836.ird,DOD100_1C1C_-10degC,CU,S2000FOSGS,0,4836,25,15.47,100.0,1.0,1.0,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/CU_at_25degC/S2000FPFHG_CU_at25degC_V00_4834.ird,DOD100_1C1C_-10degC,CU,S2000FPFHG,0,4834,25,15.38,100.0,1.0,1.0,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/CU_at_25degC/S2000FQW1T_CU_at25degC_V00_4835.ird,DOD100_1C1C_-10degC,CU,S2000FQW1T,0,4835,25,15.456,100.0,1.0,1.0,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/CU_at_25degC/S2000FQW1T_CU_at25degC_V01_4885.ird,DOD100_1C1C_-10degC,CU,S2000FQW1T,1,4885,25,15.296,100.0,1.0,1.0,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/Cycling_Periods/S2000FOSGS_CU_at-10degC_V01_4863.ird,DOD100_1C1C_-10degC,CYC,S2000FOSGS,1,4863,-10,10.644,100.0,1.0,1.0,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/Cycling_Periods/S2000FPFHG_CU_at-10degC_V01_4861.ird,DOD100_1C1C_-10degC,CYC,S2000FPFHG,1,4861,-10,14.733,100.0,1.0,1.0,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_-10degC/Cycling_Periods/S2000FQW1T_CU_at-10degC_V01_4862.ird,DOD100_1C1C_-10degC,CYC,S2000FQW1T,1,4862,-10,44.15,100.0,1.0,1.0,-10.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FM42G_CU_at25degC_V00_4905.ird,DOD100_1C1C_25degC,CU,S2000FM42G,0,4905,25,15.44,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FM42G_CU_at25degC_V02_4985.ird,DOD100_1C1C_25degC,CU,S2000FM42G,2,4985,25,15.506,100.0,1.0,1.0,25.0
